0,1,2,3
Virtual Ideas to Software DK,2021-12-28T19:54:35Z,"Unlocking the Potential of Technology: Vi-2s-Dk Virtual Ideas To Software Development Knowledge Welcome to Vi-2s-Dk, your ...",https://yt3.ggpht.com/AQbYGOrC__agS2CN6KZGPG-hBm1o4L-UHwbptChzYSd9AEB1Nn066mKhF_ClkbRfofT488xbv6o=s88-c-k-c0xffffffff-no-rj-mo
Free IT Webinar 2022 by Vi-2s-Dk: Session01,2022-06-19T13:06:28Z,"Session 01: Intro to CS, IT, IS & FAMGA history.",https://i.ytimg.com/vi/Radyt4DY62E/default.jpg
Getting into IT,2024-09-22T13:02:19Z,This playlist is for you if you are interested in getting into the IT field or already in the field and need to pivot or diversify your ...,https://i.ytimg.com/vi/1jBLtyHYieM/default.jpg
IT Webinar 2022 - Vi-2s-Dk,2022-06-19T10:22:59Z,,https://i.ytimg.com/vi/Radyt4DY62E/default.jpg
AZ-900 Cloud Certification Exam,2024-11-13T05:58:24Z,"Confused about AZ-900? This playlist is your lifesaver! We break down the essentials from cloud concepts and benefits, Azure ...",https://i.ytimg.com/vi/PPyOzUwBrr8/default.jpg
Data &amp; SQL Mastery,2024-10-23T15:43:06Z,Start with a solid foundation in Data with Databases then proceed to learn the fundamentals of database management and master ...,https://i.ytimg.com/vi/DyTx0_gktMg/default.jpg
Front-end Web Development,2024-10-13T06:25:30Z,"HTML, CSS and JavaScript. Quick introductions and hands-on practice with tools and tips to level up. General IT and Learning ...",https://i.ytimg.com/vi/-Wv4Ot0-8AE/default.jpg
Cybersecurity Security+,2024-11-22T09:30:17Z,Elevate Your Cybersecurity Career with This Comprehensive Security+ SY0-701 Playlist! Dive deep into the world of cybersecurity ...,https://i.ytimg.com/vi/ouYrAJGCcxM/default.jpg
Getting IT Done,2024-10-06T06:28:20Z,"Exploring the ways popular IT tools (software) are used to enhance productivity and collaboration within individual, small business ...",https://i.ytimg.com/vi/SAeUDTxfSEM/default.jpg
All about IT - Beyond 90 secs,2024-10-17T15:57:43Z,"Straight to the point in layman terms overview of IT terms, tools and technologies.",https://i.ytimg.com/vi/n3BFfIufexg/default.jpg
🚀🐍Python for ALL,2024-11-03T04:11:54Z,Conquer Python in 10 Sessions: Your FREE Beginner-Friendly Playlist! Master the fundamentals of Python in just 10 sessions ...,https://i.ytimg.com/vi/46wz9PU8XD8/default.jpg
☁️  Cloud Computing,2024-11-12T11:02:18Z,"Confused about cloud computing? This playlist clears the fog! ☁️ We'll explore the different types of cloud (public, private, ...",https://i.ytimg.com/vi/Ti8k6a00wgk/default.jpg
Backend Web Development,2024-12-04T10:38:19Z,"Backend Development Tutorial: Learn Python, JavaScript, Node.js, Django, Flask, and more. Master database design, API ...",https://i.ytimg.com/vi/roORuyKfjAw/default.jpg
Tips &amp; Tricks,2024-11-07T11:47:15Z,"Quick IT Tips and Tricks, from Web Development, Data, SQL, Python, DevOps, Cloud Computing, Cybersecurity, AI and more.",https://i.ytimg.com/vi/MFKMw7VhsOw/default.jpg
All about IT in 90 secs,2024-10-20T07:54:37Z,90 seconds Executive Summary of IT Concepts and Technologies #microsoftoffice #googleapps #openoffice Microsoft (Office) ...,https://i.ytimg.com/vi/1jBLtyHYieM/default.jpg
Vi-2s-Dk Books for Africa - Cameroon,2023-11-27T14:50:50Z,Ventures of Vi-2s-Dk Association for Cameroon.,https://i.ytimg.com/vi/Gwh-lVTB88o/default.jpg
Live Coding African Beats,2024-11-17T16:28:33Z,"Study Smart, Study Calm: Lofi Beats for IT Certifications.",https://i.ytimg.com/vi/c41mbdKUmbI/default.jpg
🚀 Interactive Python For All,2023-03-31T00:57:57Z,Getting started course for developing Python applications.,https://i.ytimg.com/vi/JyIw2O62wl8/default.jpg
☁️⏰ Cloud Compute EXPLAINED! AWS EC2 vs Azure VMs vs GCP Compute Engine,2024-11-14T11:00:00Z,"Supercharge Your Apps! Cloud Compute for Beginners (AWS, Azure, GCP) This video is your guide! We'll break down VMs, ...",https://i.ytimg.com/vi/-L2zQCRKcBI/default.jpg
"Ultimate Summary: Data, Databases, DBMS, SQL.",2024-10-24T09:00:40Z,"Learn the fundamentals of database management and master SQL queries with this comprehensive tutorial! In this video, we'll ...",https://i.ytimg.com/vi/cyHkyTNysTc/default.jpg
"CSS Rules, Cascade, Box model, responsive layout, transitions and animations. #ui #ux #webdesign",2024-10-21T20:33:52Z,"A quick introduction to HTML covering the basics, elements, structure, content and resources. DOCTYPE Head Body Header Nav ...",https://i.ytimg.com/vi/luu_snWyEjs/default.jpg
🤯 Cloud Computing EXPLAINED! AWS vs Azure vs GCP Simple! #aws #azure #gcp #cloudcomputing,2024-11-12T14:23:32Z,"Confused about cloud computing? This video clears the fog! ☁️ We'll explore the different types of cloud (public, private, hybrid), ...",https://i.ytimg.com/vi/OSHJOwcIzMM/default.jpg
100 Days IT Skills Challenge  #gettingintoit #microsoft #howtostartcoding  #worldwideweb #education,2024-10-13T21:45:00Z,"100 Days IT Tech Skills Challenge Series 1: Getting Into IT (CS, Evolution, Fundamentals) Series 2: Getting IT Done (Microsoft ...",https://i.ytimg.com/vi/BU24ENOXFgM/default.jpg
Ace your DBA &amp; Data Science Interview: DBMS vs Server #itcareer #data #datascience #interview,2024-10-24T14:00:47Z,"Whether you're a beginner or looking to brush up on your DBA or data science or data analytics skills, this video is perfect for ...",https://i.ytimg.com/vi/nM3DFNAd_bE/default.jpg
"☁️ Why the Cloud WINS: Reliability, Predictability, and Control (#AWS, #Azure, #GCP)",2024-11-12T14:45:04Z,Take your business to the next level with the power of the cloud! This video explores the 7 key benefits that make cloud computing ...,https://i.ytimg.com/vi/TrrAqxGTV0U/default.jpg
Azure Fundamentals: Cloud Computing &amp; Benefits - Session 1 &amp; 2 Recap,2023-03-11T21:55:45Z,Program Schedule Session 1: Cloud Computing Session 2: Cloud Benefits.,https://i.ytimg.com/vi/TcI-PecPCRs/default.jpg
🔐🛡️ Security+ Domain 4: Securing Your Digital Fortress,2024-11-24T15:30:10Z,"Ready to become a cybersecurity operations expert? 🛡️ This video delves into the critical aspects of Security+ Domain 4, ...",https://i.ytimg.com/vi/cfA14nRszYQ/default.jpg
❤️⏰[Getting into IT] MIND-BLOWING IT Career Secrets Revealed,2024-09-22T21:48:12Z,"The 1st of 5 videos in the ""Getting into IT"" series. ❤️⏰(90 secs) Getting into IT - The Big Picture MIND-BLOWING IT Career ...",https://i.ytimg.com/vi/1jBLtyHYieM/default.jpg
✅ Microsoft vs Google collaboration tools #Microsoft #Google #Collaboration #Communication #team,2024-10-21T04:00:00Z,Microsoft (Office) 365 Google (Suite) Workspace LibreOffice (OpenOffice) Microsoft Word Microsoft Excel Microsoft PowerPoint ...,https://i.ytimg.com/vi/-wPOCKqly-o/default.jpg
CSS Style &amp; Layout #html #webdevelopment #webdesign #style #ui #ux #uiux #web,2024-10-21T20:33:23Z,"A quick introduction to HTML covering the basics, elements, structure, content and resources. DOCTYPE Head Body Header Nav ...",https://i.ytimg.com/vi/w95NuwnsS0Q/default.jpg
🔐⚔️ Battle Cyber Threats: CompTIA Security+ [Domain 2] ⚔️,2024-11-23T02:00:37Z,Are you ready to safeguard your digital assets? This video will equip you with the knowledge and skills to combat cyber threats.,https://i.ytimg.com/vi/yK3qKUo8Gig/default.jpg
❤️⏰From Abacus to AI: The Incredible Journey of IT,2024-09-25T04:35:08Z,"The 2nd of 5 videos in the ""Getting into IT"" series. The Evolution: From Abacus to AI: The Incredible Journey of IT Embark on a ...",https://i.ytimg.com/vi/xJz8eR45b20/default.jpg
🔐⚔️ [Domain 2.1] A Game of Thrones Perspective on Cyber Threats &amp; Motivations,2024-12-02T00:00:02Z,Objective 2.1: Compare and contrast common threat actors and motivations CompTIA Security+ NEW SY0-701 Cybersecurity ...,https://i.ytimg.com/vi/4Dd7ATW1vPo/default.jpg
Getting into IT -1.1- The Big Picture #vi2sDk #GettingIntoIT,2024-10-02T05:00:35Z,Series: Getting into IT Session: The Big Picture Part: 01.1 CS - Computer Science IT - Information Technology IS - Information ...,https://i.ytimg.com/vi/nnwiGTPtfVo/default.jpg
🔢 [Data &amp; SQL] Choose the best database-related career.,2024-10-27T11:00:50Z,"Choosing the right career or data related role from database architects, database engineers and developers, database ...",https://i.ytimg.com/vi/mNTXfBPtgxM/default.jpg
"✅ Presentations: PowerPoint, Slides, Impress #microsoftoffice #microsoft365 #libreoffice #googleapps",2024-10-21T04:00:28Z,,https://i.ytimg.com/vi/gpBYk1NnfUE/default.jpg
⏰ ✅ Beyond Microsoft Word: Exploring Powerful Word Processing Tools,2024-10-06T09:50:44Z,"Discover the world of word processing software! This video will introduce you to popular options like Microsoft Word, Google Docs, ...",https://i.ytimg.com/vi/rKrfZITVUBM/default.jpg
🔐💼 Unravel the Secrets of Security Program Management: Security+ Domain 5 Explained!,2024-11-25T11:00:08Z,Ready to take your cybersecurity leadership skills to the next level? 🛡️ This video delves into the critical aspects of Security+ ...,https://i.ytimg.com/vi/3oM9gwUv0VQ/default.jpg
"☁️🌐 Connect to the CLOUD! VPCs, VPNs &amp; More!",2024-11-14T11:00:48Z,Want to connect your business to the cloud? This video is your roadmap! 🗺️ We'll explore the essential cloud networking ...,https://i.ytimg.com/vi/gK-3KzPE3j4/default.jpg
☁️⏰ Cloud Architecture Showdown! AWS vs Azure vs GCP (in 90 secs!),2024-11-14T11:00:10Z,"Confused by cloud jargon? We've got you covered! This video demystifies the core architecture of AWS, Azure, and GCP.",https://i.ytimg.com/vi/BPxR9hlYWsk/default.jpg
Which career or data related role is the best? #data #database #admin #developer #sql #datascience,2024-10-26T12:00:29Z,"Choosing the right data related roles and careers from database architects, database engineers and developers, database ...",https://i.ytimg.com/vi/T-pMn7M6PmU/default.jpg
⏰(90 secs) Getting IT Done ✅ -04- Presentations,2024-10-07T19:00:18Z,"A brief look into presentation software including Microsoft PowerPoint, Google Slides and LibreOffice Impress. #free Microsoft ...",https://i.ytimg.com/vi/_w2-cFEYi68/default.jpg
Python in 60 Seconds: Mind-Blowing Tricks You NEED to Know!,2024-11-11T13:10:00Z,"Become a Python pro FASTER with these insane tips and tricks! From variables and operators to functions and modules, we've ...",https://i.ytimg.com/vi/9OfLNiHs86o/default.jpg
🌎⏰CSS Tutorial: Learn CSS in 90 Seconds,2024-10-17T05:00:04Z,"A quick introduction to CSS covering the basics, rules selector, declaration, property, value, cascade, specificity, inheritance, box ...",https://i.ytimg.com/vi/5uTsmTgnMiY/default.jpg
❤️⏰Learn to Code the Easy Way: Essential Skills for Beginners,2024-10-01T15:00:02Z,"The 5th of 5 videos in the ""Getting into IT"" series. (90 secs) Getting into IT -05- Coding Basics Learn to Code the Easy Way: ...",https://i.ytimg.com/vi/2tFkbBoR6qk/default.jpg
🛡️👑[Domain 2.5] Protecting Your Assets: Mitigating Cyber Threats ⚔️,2024-12-02T08:30:18Z,"Domain 2, Objective 2.5: Explain the purpose of mitigation techniques used to secure the enterprise CompTIA Security+ NEW ...",https://i.ytimg.com/vi/m0-KwekpHec/default.jpg
❤️⏰Want to MASTER Computer Hardware and Software? Watch This Now!,2024-09-27T05:00:22Z,"The 3rd of 5 videos in the ""Getting into IT"" series. (90 secs) Getting into IT -03- Computer Components Unraveling the Computer: A ...",https://i.ytimg.com/vi/LKmDwmS-58k/default.jpg
HTML Content - Elements #html #howtostartcodingforbeginners #frontend #sidehustle #ui #ux #itcareer,2024-10-21T19:05:00Z,"A quick introduction to HTML covering the basics, elements, structure, content and resources. DOCTYPE Head Body Header Nav ...",https://i.ytimg.com/vi/KEfkE6lYsBQ/default.jpg
🔐 ⚡ Cracking CompTIA Security+ [Domain 1]: Quick &amp; Easy,2024-11-22T10:00:55Z,Ready to level up your cybersecurity knowledge? This video is your shortcut to mastering CompTIA Security+ Domain 1.,https://i.ytimg.com/vi/u14J_-CyKP4/default.jpg
"✅ Word processor: Word, Docs, Writer #msword #googledoc #libreofficewriter #editing #education #edit",2024-10-21T02:22:17Z,Microsoft (Office) 365 Google (Suite) Workspace LibreOffice (OpenOffice) Microsoft Word Microsoft Excel Microsoft PowerPoint ...,https://i.ytimg.com/vi/_kWht4YcPo0/default.jpg
